first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
Arodys,Vizcaino,P,-7.71941099169,vizcaar01,3,9,37,-1.6,-0.39603960396039606,1,27.0,13.0,101.0,0.0,2.0,1.0,36.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,139.0,25.0,7.0,25,4,190,72
Ryan,Vogelsong,P,10.5591157415,vogelry01,9,0,108,-4.67,-0.4888888888888889,1,140.0,58.0,405.0,3.0,2.0,11.0,33.0,22.0,0.0,0.0,70.0,17.0,1.0,0.0,598.0,6.0,76.0,38,15,215,76
Chris,Volstad,P,-20.703567946,volstch01,0,0,0,-0.0,-0.3333333333333333,1,2.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,29,7,230,80
Michael,Wacha,P,23.138147749,wachami01,17,0,153,-3.38,-0.40441176470588236,1,162.0,58.0,544.0,6.0,4.0,7.0,30.0,30.0,0.0,0.0,68.0,19.0,4.0,1.0,762.0,0.0,74.0,24,2,210,78
Tsuyoshi,Wada,P,-11.4486245111,wadats01,1,0,31,-3.62,-0.422680412371134,1,30.0,11.0,97.0,1.0,1.0,1.0,8.0,7.0,0.0,0.0,13.0,5.0,1.0,0.0,136.0,0.0,14.0,34,1,180,71
Tyler,Wagner,P,-18.4953338724,wagnety01,0,0,5,-7.24,-0.7073170731707317,1,22.0,7.0,41.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,11.0,1.0,1.0,0.0,67.0,0.0,11.0,24,0,195,75
Adam,Wainwright,P,-14.8424385633,wainwad01,2,0,20,-1.61,-0.34523809523809523,1,25.0,4.0,84.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,111.0,2.0,7.0,34,10,235,79
Jordan,Walden,P,-16.9161819611,waldejo01,0,1,12,-0.87,-0.3548387096774194,1,7.0,4.0,31.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,42.0,2.0,1.0,28,5,250,77
Tony,Watson,P,-2.55871858373,watsoto01,4,1,62,-1.91,-0.3185840707964602,1,55.0,17.0,226.0,4.0,1.0,1.0,77.0,0.0,0.0,0.0,16.0,3.0,1.0,0.0,293.0,4.0,17.0,30,4,225,76
Ryan,Weber,P,-14.7448899883,weberry01,0,0,19,-4.76,-0.36470588235294116,1,25.0,6.0,85.0,2.0,0.0,3.0,5.0,5.0,0.0,0.0,15.0,3.0,0.0,0.0,109.0,0.0,15.0,25,0,180,72
Allen,Webster,P,-15.2300747833,webstal01,1,0,17,-5.81,-0.5591397849462365,1,32.0,20.0,93.0,2.0,1.0,1.0,9.0,5.0,0.0,0.0,20.0,10.0,1.0,0.0,142.0,1.0,28.0,25,2,190,74
Matt,West,P,-20.129910523,westma03,0,0,2,-0.0,-0.3333333333333333,1,2.0,1.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,27,1,200,73
