first,last,pos,value,id,OBP,SLG,R,HR,RBI,SB,G,AB,H,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,age,years played,weight,height
Trevor,Brown,C,-31.033111976,browntr01,0.27906976744186046,0.3076923076923077,1,0,5,1,13,39,9,3,0,1,3,8,0,0,0,1,0,24,0,195,74
Keon,Broxton,OF,-29.8464917225,broxtke01,0.0,0.0,3,0,0,1,7,2,0,0,0,1,0,1,0,0,0,0,0,25,0,195,75
Jay,Bruce,OF,27.143964254,bruceja01,0.2942989214175655,0.43448275862068964,72,26,87,9,157,580,131,35,4,5,58,145,8,2,0,9,10,28,7,225,75
Kris,Bryant,OF,36.0625455829,bryankr01,0.36923076923076925,0.4883720930232558,87,26,99,13,151,559,154,31,5,4,77,199,0,9,0,5,7,23,0,215,77
David,Buchanan,P,-30.4389136992,buchada01,0.2727272727272727,0.25,2,0,1,0,15,20,4,1,0,0,2,8,0,0,1,0,0,26,1,200,75
Madison,Bumgarner,P,-23.2059014849,bumgama01,0.275,0.4675324675324675,9,5,9,0,36,77,19,2,0,0,3,27,0,0,1,0,1,26,6,235,77
A. J.,Burnett,P,-30.4201932526,burneaj01,0.11627906976744186,0.19047619047619047,1,1,5,0,26,42,5,0,0,0,0,20,0,0,9,1,1,38,16,230,76
Emmanuel,Burriss,2B,-30.4351954675,burriem01,0.8,0.6666666666666666,2,0,0,0,5,3,2,0,0,0,2,0,0,0,0,0,0,30,7,190,72
Eddie,Butler,P,-31.629750466,butleed01,0.043478260869565216,0.043478260869565216,0,0,0,0,16,23,1,0,0,0,0,13,0,0,1,0,0,24,1,180,74
Marlon,Byrd,OF,7.38799341006,byrdma01,0.2860824742268041,0.44846796657381616,46,19,42,2,96,359,85,13,3,1,23,101,1,3,0,3,6,38,13,245,72
Marlon,Byrd,OF,-22.0362465324,byrdma01,0.30128205128205127,0.46258503401360546,12,4,31,0,39,147,40,12,2,0,6,44,1,1,0,2,4,38,13,245,72
Ramon,Cabrera,C,-28.6341839183,cabrera01,0.36666666666666664,0.5,4,1,3,0,13,30,11,1,0,0,0,5,0,0,0,0,1,26,0,195,68
Trevor,Cahill,P,-31.6284623099,cahiltr01,0.2,0.2,0,0,0,0,15,5,1,0,0,0,0,2,0,0,0,0,0,27,6,240,76
Trevor,Cahill,P,-31.6292369885,cahiltr01,0.3333333333333333,0.0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,27,6,240,76
Matt,Cain,P,-31.6301082871,cainma01,0.0,0.0,0,0,1,0,13,16,0,0,0,0,0,9,0,0,3,1,0,31,10,230,75
