first,last,pos,value,id,W,SV,SO,-ERA,-WHIP,QS(=1),H,BB,IPOuts,HBP,IBB,L,G,GS,CG,SHO,ER,HR,WP,BK,BFP,GF,R,age,years played,weight,height
Ryan,Kelly,P,0.963512660434,kellyry01,0,0,10,-7.02,-0.54,1,21.0,6.0,50.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,74.0,8.0,14.0,28,0,180,74
Kyle,Kendrick,P,7.61414287659,kendrky01,7,0,80,-6.32,-0.5081967213114754,1,172.0,45.0,427.0,7.0,2.0,13.0,27.0,27.0,0.0,0.0,100.0,33.0,4.0,0.0,629.0,0.0,102.0,31,8,210,75
Ian,Kennedy,P,16.6144496165,kenneia01,9,0,174,-4.28,-0.4316831683168317,1,166.0,52.0,505.0,7.0,4.0,15.0,30.0,30.0,0.0,0.0,80.0,31.0,5.0,1.0,713.0,0.0,95.0,31,8,200,72
Clayton,Kershaw,P,28.7340781691,kershcl01,16,0,301,-2.13,-0.29369627507163326,1,163.0,42.0,698.0,5.0,1.0,7.0,33.0,33.0,4.0,3.0,55.0,15.0,9.0,3.0,890.0,0.0,62.0,27,7,225,76
Craig,Kimbrel,P,38.6299340767,kimbrcr01,4,39,87,-2.58,-0.34831460674157305,1,40.0,22.0,178.0,1.0,1.0,2.0,61.0,0.0,0.0,0.0,17.0,6.0,4.0,0.0,239.0,53.0,19.0,27,5,220,71
Brandon,Kintzler,P,0.675300655747,kintzbr01,0,0,7,-6.43,-0.8095238095238095,1,12.0,5.0,21.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,36.0,4.0,6.0,31,5,190,70
Corey,Knebel,P,5.56755292462,knebeco01,0,0,58,-3.22,-0.40397350993377484,1,44.0,17.0,151.0,2.0,1.0,0.0,48.0,0.0,0.0,0.0,18.0,8.0,1.0,0.0,209.0,15.0,18.0,24,1,210,76
Tom,Koehler,P,13.0448261964,koehlto01,11,0,137,-4.08,-0.45729537366548045,1,180.0,77.0,562.0,6.0,3.0,14.0,32.0,31.0,0.0,0.0,85.0,22.0,2.0,0.0,800.0,0.0,96.0,29,3,235,75
Michael,Kohn,P,0.383845858377,kohnmi01,0,0,4,-0.0,-0.42857142857142855,1,0.0,6.0,14.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,29,5,200,74
George,Kontos,P,4.18572187642,kontoge01,4,0,44,-2.33,-0.31363636363636366,1,57.0,12.0,220.0,0.0,3.0,4.0,73.0,0.0,0.0,0.0,19.0,9.0,3.0,0.0,284.0,12.0,20.0,30,4,215,75
John,Lackey,P,16.6716962681,lackejo01,13,0,175,-2.77,-0.4036697247706422,1,211.0,53.0,654.0,4.0,5.0,10.0,33.0,33.0,1.0,0.0,67.0,21.0,5.0,3.0,896.0,0.0,71.0,37,13,235,78
Aaron,Laffey,P,0.280458709599,laffeaa01,1,0,3,-3.68,-0.5,1,8.0,3.0,22.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,33.0,0.0,3.0,30,8,200,72
Bobby,LaFromboise,P,0.768319174927,lafrobo01,0,0,8,-1.13,-0.25,1,5.0,1.0,24.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,4.0,1.0,29,2,225,76
John,Lamb,P,5.55951644045,lambjo02,1,0,58,-5.8,-0.5167785234899329,1,58.0,19.0,149.0,2.0,0.0,5.0,10.0,10.0,0.0,0.0,32.0,8.0,0.0,0.0,220.0,0.0,32.0,25,0,205,76
